"filename", "language", "PostCSS", "JavaScript", "JSON", "Markdown", "HTML", "Dotenv", "C#", "XML", "Properties", "comment", "blank", "total"
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\CompaniesDTO.cs", "C#", 0, 0, 0, 0, 0, 0, -38, 0, 0, -6, -6, -50
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\CompanyIntegrationDto.cs", "C#", 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, -1, -21
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\CourierDtos.cs", "C#", 0, 0, 0, 0, 0, 0, -26, 0, 0, -6, -3, -35
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\GoogleLoginDto.cs", "C#", 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, -7
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\LoginDto.cs", "C#", 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, -8
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\OrderDto.cs", "C#", 0, 0, 0, 0, 0, 0, -46, 0, 0, -16, -7, -69
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\ProductDto.cs", "C#", 0, 0, 0, 0, 0, 0, -25, 0, 0, -3, -2, -30
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\ProfileInfoDto.cs", "C#", 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, -2, -21
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\RegisterDto.cs", "C#", 0, 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, -10
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\Shipmentdtos.cs", "C#", 0, 0, 0, 0, 0, 0, -31, 0, 0, -8, -10, -49
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\StatsDto.cs", "C#", 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, -1, -18
